country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","08-11-2025 15:00:00",11.654054,92.734055,NH3,NA,NA,NA
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","08-11-2025 15:00:00",11.654054,92.734055,OZONE,2,5,4
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","08-11-2025 15:00:00",16.5150833,80.5181667,PM10,91,260,124
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","08-11-2025 15:00:00",16.5150833,80.5181667,NH3,1,4,3
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","08-11-2025 15:00:00",16.5150833,80.5181667,SO2,8,50,14
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","08-11-2025 15:00:00",16.5150833,80.5181667,CO,18,31,23
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","08-11-2025 15:00:00",14.675886,77.593027,CO,28,75,35
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","08-11-2025 15:00:00",13.204880,79.097889,SO2,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","08-11-2025 15:00:00",25.560083,87.553265,NO2,2,5,3
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","08-11-2025 15:00:00",25.560083,87.553265,CO,64,82,70
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","08-11-2025 15:00:00",26.0881305,87.93840336,PM2.5,33,312,221
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","08-11-2025 15:00:00",26.0881305,87.93840336,PM10,29,164,124
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","08-11-2025 15:00:00",26.0881305,87.93840336,NO2,7,8,7
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","08-11-2025 15:00:00",26.0881305,87.93840336,OZONE,16,19,17
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","08-11-2025 15:00:00",27.308328,84.531742,SO2,16,17,17
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","08-11-2025 15:00:00",26.63086,84.90051,OZONE,2,4,2
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","08-11-2025 15:00:00",14.465052,78.824187,NO2,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","08-11-2025 15:00:00",14.465052,78.824187,SO2,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","08-11-2025 15:00:00",14.465052,78.824187,CO,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-11-2025 15:00:00",16.9872867,81.7363176,PM2.5,50,136,89
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-11-2025 15:00:00",16.9872867,81.7363176,NH3,3,4,3
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-11-2025 15:00:00",16.9872867,81.7363176,SO2,4,44,13
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","08-11-2025 15:00:00",13.67,79.35,CO,19,62,23
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","08-11-2025 15:00:00",13.615387,79.409230,CO,30,45,37
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","08-11-2025 15:00:00",24.7955,84.9994,OZONE,19,20,20
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","08-11-2025 15:00:00",24.792403,84.992416,PM10,124,356,195
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","08-11-2025 15:00:00",24.792403,84.992416,CO,40,44,42
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-11-2025 15:00:00",24.762518,84.982348,NH3,2,4,3
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-11-2025 15:00:00",25.697189,85.245900,PM2.5,80,165,111
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-11-2025 15:00:00",25.697189,85.245900,SO2,3,5,4
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-11-2025 15:00:00",25.697189,85.245900,CO,11,49,29
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","08-11-2025 15:00:00",25.251013,86.989001,SO2,10,68,45
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","08-11-2025 15:00:00",25.265194,87.012947,OZONE,24,129,82
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","08-11-2025 15:00:00",25.204762,85.514960,NH3,3,5,4
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","08-11-2025 15:00:00",25.567520,83.966379,NH3,3,3,3
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","08-11-2025 15:00:00",25.7808257,84.7446768,PM2.5,5,140,28
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","08-11-2025 15:00:00",26.446912,91.439057,SO2,4,8,8
India,Assam,Silchar,"Tarapur, Silchar - PCBA","08-11-2025 15:00:00",24.82827,92.79525,NH3,1,1,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA","08-11-2025 15:00:00",24.82827,92.79525,CO,26,70,49
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","08-11-2025 15:00:00",26.987634,94.636574,PM10,34,82,62
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","08-11-2025 15:00:00",26.146529,87.454184,NO2,1,52,21
India,Bihar,Munger,"Town Hall, Munger - BSPCB","08-11-2025 15:00:00",25.376776,86.471523,NO2,4,5,5
India,Bihar,Munger,"Town Hall, Munger - BSPCB","08-11-2025 15:00:00",25.376776,86.471523,NH3,5,8,6
India,Bihar,Munger,"Town Hall, Munger - BSPCB","08-11-2025 15:00:00",25.376776,86.471523,OZONE,11,32,26
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","08-11-2025 15:00:00",26.1403345,85.3650192,PM10,52,71,63
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","08-11-2025 15:00:00",26.1403345,85.3650192,SO2,13,22,14
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","08-11-2025 15:00:00",26.1403345,85.3650192,CO,50,64,57
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","08-11-2025 15:00:00",24.75746,84.366208,NO2,7,8,8
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","08-11-2025 15:00:00",25.42742023,86.13886079,NO2,16,23,19
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","08-11-2025 15:00:00",25.42742023,86.13886079,OZONE,5,54,30
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","08-11-2025 15:00:00",26.80365,84.51954,CO,60,106,83
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","08-11-2025 15:00:00",26.80365,84.51954,OZONE,22,24,23
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","08-11-2025 15:00:00",16.509717,80.612222,NH3,3,4,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","08-11-2025 15:00:00",16.554731,80.649110,CO,27,48,36
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","08-11-2025 15:00:00",27.103358,93.679645,PM10,16,137,65
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","08-11-2025 15:00:00",27.103358,93.679645,SO2,8,8,8
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","08-11-2025 15:00:00",26.071318,91.87488,PM10,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","08-11-2025 15:00:00",26.071318,91.87488,CO,26,58,50
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","08-11-2025 15:00:00",26.187500,91.744194,OZONE,18,18,18
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","08-11-2025 15:00:00",26.181742,91.78063,PM2.5,27,158,72
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","08-11-2025 15:00:00",22.118125,83.140608,NO2,11,22,14
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","08-11-2025 15:00:00",22.118125,83.140608,NH3,5,5,5
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","08-11-2025 15:00:00",22.118125,83.140608,SO2,6,53,19
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","08-11-2025 15:00:00",22.368195,82.746431,PM10,45,69,53
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","08-11-2025 15:00:00",22.368195,82.746431,SO2,6,19,8
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","08-11-2025 15:00:00",22.368195,82.746431,OZONE,2,21,6
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","08-11-2025 15:00:00",22.348441,82.549611,NO2,26,41,32
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","08-11-2025 15:00:00",22.126650,83.483212,PM10,32,105,67
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","08-11-2025 15:00:00",22.126650,83.483212,SO2,2,13,7
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","08-11-2025 15:00:00",22.126650,83.483212,CO,4,20,12
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","08-11-2025 15:00:00",21.371751,81.664929,NO2,6,40,12
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","08-11-2025 15:00:00",21.371751,81.664929,SO2,3,6,4
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","08-11-2025 15:00:00",22.06631475,83.33820077,PM10,42,106,73
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","08-11-2025 15:00:00",22.06631475,83.33820077,OZONE,9,105,69
India,Delhi,Delhi,"Alipur, Delhi - DPCC","08-11-2025 15:00:00",28.815329,77.153010,PM10,139,500,389
India,Delhi,Delhi,"Alipur, Delhi - DPCC","08-11-2025 15:00:00",28.815329,77.153010,NO2,34,146,81
India,Delhi,Delhi,"Alipur, Delhi - DPCC","08-11-2025 15:00:00",28.815329,77.153010,CO,44,112,87
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","08-11-2025 15:00:00",28.647622,77.3158090,CO,101,136,119
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","08-11-2025 15:00:00",28.5512005,77.2735737,CO,14,106,44
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","08-11-2025 15:00:00",28.656756,77.227234,NH3,7,20,13
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","08-11-2025 15:00:00",28.656756,77.227234,OZONE,1,90,51
India,Delhi,Delhi,"DTU, Delhi - CPCB","08-11-2025 15:00:00",28.7500499,77.1112615,PM10,147,443,304
India,Delhi,Delhi,"DTU, Delhi - CPCB","08-11-2025 15:00:00",28.7500499,77.1112615,CO,21,77,67
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","08-11-2025 15:00:00",28.498571,77.264840,PM2.5,203,500,367
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","08-11-2025 15:00:00",28.498571,77.264840,NH3,6,9,8
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","08-11-2025 15:00:00",28.498571,77.264840,SO2,20,43,29
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","08-11-2025 15:00:00",22.1910172,83.5197009,PM2.5,28,57,42
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","08-11-2025 15:00:00",22.1910172,83.5197009,PM10,32,91,61
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","08-11-2025 15:00:00",22.1910172,83.5197009,SO2,13,17,15
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","08-11-2025 15:00:00",21.258815,81.578979,PM2.5,21,74,42
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","08-11-2025 15:00:00",21.258815,81.578979,PM10,34,165,79
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","08-11-2025 15:00:00",21.237755,81.705301,PM10,53,107,77
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","08-11-2025 15:00:00",21.237755,81.705301,NO2,12,30,16
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","08-11-2025 15:00:00",21.237755,81.705301,OZONE,2,50,20
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","08-11-2025 15:00:00",28.4706914,77.1099364,OZONE,9,161,161
India,Delhi,Delhi,"Bawana, Delhi - DPCC","08-11-2025 15:00:00",28.776200,77.051074,PM2.5,257,500,412
India,Delhi,Delhi,"Bawana, Delhi - DPCC","08-11-2025 15:00:00",28.776200,77.051074,SO2,10,42,23
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","08-11-2025 15:00:00",28.7256504,77.2011573,CO,13,102,61
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","08-11-2025 15:00:00",28.5512005,77.2735737,PM2.5,232,500,381
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","08-11-2025 15:00:00",25.592539,85.227158,NH3,4,5,5
India,Bihar,Patna,"Muradpur, Patna - BSPCB","08-11-2025 15:00:00",25.619651,85.147382,NH3,4,5,5
India,Bihar,Patna,"Muradpur, Patna - BSPCB","08-11-2025 15:00:00",25.619651,85.147382,SO2,7,9,9
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","08-11-2025 15:00:00",25.599486,85.113666,PM2.5,86,128,104
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","08-11-2025 15:00:00",25.599486,85.113666,PM10,97,130,113
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","08-11-2025 15:00:00",25.599486,85.113666,SO2,6,8,7
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","08-11-2025 15:00:00",21.194815,81.314770,PM10,29,71,46
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","08-11-2025 15:00:00",21.185571,81.343175,CO,21,22,22
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","08-11-2025 15:00:00",21.185571,81.343175,OZONE,8,13,10
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","08-11-2025 15:00:00",22.08815,82.13737,PM2.5,30,71,49
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","08-11-2025 15:00:00",22.08815,82.13737,NO2,13,26,17
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","08-11-2025 15:00:00",25.366336,87.117468,PM2.5,52,100,81
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","08-11-2025 15:00:00",25.366336,87.117468,OZONE,25,56,39
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","08-11-2025 15:00:00",25.03280,85.41948,PM10,38,83,61
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","08-11-2025 15:00:00",25.03280,85.41948,SO2,18,24,21
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","08-11-2025 15:00:00",24.952822,84.002396,NH3,3,39,5
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","08-11-2025 15:00:00",26.2271665,84.3570427,NO2,1,1,1
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","08-11-2025 15:00:00",23.002657,72.591912,PM10,35,218,130
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","08-11-2025 15:00:00",23.002657,72.591912,SO2,33,47,41
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","08-11-2025 15:00:00",23.020509,72.579261,SO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","08-11-2025 15:00:00",23.016834,72.625775,NH3,2,17,4
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","08-11-2025 15:00:00",23.016834,72.625775,OZONE,2,77,32
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","08-11-2025 15:00:00",23.041137,72.456691,PM10,18,500,166
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","08-11-2025 15:00:00",23.041137,72.456691,NH3,2,3,3
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","08-11-2025 15:00:00",23.041137,72.456691,OZONE,2,57,22
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","08-11-2025 15:00:00",28.5627763,77.1180053,PM10,150,442,267
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","08-11-2025 15:00:00",28.5627763,77.1180053,OZONE,1,3,3
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","08-11-2025 15:00:00",28.6811736,77.3025234,NO2,51,56,53
India,Delhi,Delhi,"ITO, Delhi - CPCB","08-11-2025 15:00:00",28.628624,77.241060,PM2.5,191,500,389
India,Delhi,Delhi,"ITO, Delhi - CPCB","08-11-2025 15:00:00",28.628624,77.241060,NO2,28,99,61
India,Delhi,Delhi,"ITO, Delhi - CPCB","08-11-2025 15:00:00",28.628624,77.241060,NH3,2,4,3
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","08-11-2025 15:00:00",28.732820,77.170633,NO2,66,151,108
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","08-11-2025 15:00:00",28.672342,77.315260,NH3,10,12,11
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","08-11-2025 15:00:00",28.699793,77.165453,SO2,12,40,20
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","08-11-2025 15:00:00",23.107969,72.574648,NO2,10,116,56
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","08-11-2025 15:00:00",23.107969,72.574648,SO2,5,10,7
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","08-11-2025 15:00:00",22.977134,72.553024,NH3,4,59,26
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","08-11-2025 15:00:00",23.002657,72.591912,PM2.5,54,348,218
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","08-11-2025 15:00:00",28.580280,77.233829,NO2,34,164,99
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","08-11-2025 15:00:00",28.588333,77.221667,NO2,42,48,44
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","08-11-2025 15:00:00",28.611281,77.237738,NO2,35,159,93
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","08-11-2025 15:00:00",28.611281,77.237738,NH3,13,18,16
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","08-11-2025 15:00:00",28.611281,77.237738,SO2,23,53,33
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","08-11-2025 15:00:00",28.611281,77.237738,CO,30,110,54
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","08-11-2025 15:00:00",28.636429,77.201067,NO2,23,68,40
India,Delhi,Delhi,"Mundka, Delhi - DPCC","08-11-2025 15:00:00",28.684678,77.076574,PM10,141,500,379
India,Delhi,Delhi,"Mundka, Delhi - DPCC","08-11-2025 15:00:00",28.684678,77.076574,NH3,6,15,11
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-11-2025 15:00:00",28.60909,77.0325413,PM2.5,37,384,146
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-11-2025 15:00:00",28.60909,77.0325413,PM10,185,220,201
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-11-2025 15:00:00",28.60909,77.0325413,NH3,5,9,7
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-11-2025 15:00:00",28.60909,77.0325413,CO,22,64,34
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","08-11-2025 15:00:00",28.6573814,77.1585447,PM2.5,175,500,375
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","08-11-2025 15:00:00",28.530785,77.271255,NO2,74,193,130
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","08-11-2025 15:00:00",28.623763,77.287209,CO,54,124,91
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","08-11-2025 15:00:00",28.674045,77.131023,PM10,157,477,350
India,Delhi,Delhi,"Rohini, Delhi - DPCC","08-11-2025 15:00:00",28.732528,77.119920,CO,13,55,29
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","08-11-2025 15:00:00",28.6514781,77.1473105,SO2,1,29,10
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","08-11-2025 15:00:00",28.710508,77.249485,CO,56,122,111
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","08-11-2025 15:00:00",28.531346,77.190156,NO2,25,76,48
India,Delhi,Delhi,"Pusa, Delhi - DPCC","08-11-2025 15:00:00",28.639652,77.146275,NH3,2,16,10
India,Delhi,Delhi,"Pusa, Delhi - IMD","08-11-2025 15:00:00",28.636110,77.173332,PM2.5,199,472,380
India,Delhi,Delhi,"Pusa, Delhi - IMD","08-11-2025 15:00:00",28.636110,77.173332,NO2,9,114,57
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","08-11-2025 15:00:00",28.563262,77.186937,NO2,37,155,99
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","08-11-2025 15:00:00",23.023389,72.515201,CO,2,144,28
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","08-11-2025 15:00:00",23.076793,72.627874,PM10,55,444,210
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","08-11-2025 15:00:00",23.076793,72.627874,CO,13,117,32
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","08-11-2025 15:00:00",22.969611,72.643500,NH3,3,4,3
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","08-11-2025 15:00:00",22.969611,72.643500,SO2,21,36,29
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","08-11-2025 15:00:00",30.379589,76.778328,SO2,31,32,31
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","08-11-2025 15:00:00",28.6701,76.9254,SO2,7,7,7
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","08-11-2025 15:00:00",28.6701,76.9254,OZONE,15,19,17
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","08-11-2025 15:00:00",28.3419248,77.319699,PM2.5,108,157,128
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","08-11-2025 15:00:00",28.3419248,77.319699,SO2,7,11,10
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","08-11-2025 15:00:00",28.3419248,77.319699,CO,48,52,50
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","08-11-2025 15:00:00",28.3419248,77.319699,OZONE,15,15,15
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","08-11-2025 15:00:00",28.806223,76.141105,PM2.5,211,313,246
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","08-11-2025 15:00:00",28.4417,77.3217,PM2.5,335,342,336
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","08-11-2025 15:00:00",28.4417,77.3217,OZONE,17,19,18
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","08-11-2025 15:00:00",29.503664,75.467934,NH3,13,14,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","08-11-2025 15:00:00",29.503664,75.467934,SO2,1,25,12
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","08-11-2025 15:00:00",29.503664,75.467934,OZONE,11,21,14
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","08-11-2025 15:00:00",28.422681,77.148944,PM2.5,3,500,217
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","08-11-2025 15:00:00",28.422681,77.148944,CO,19,65,51
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","08-11-2025 15:00:00",28.4227,77.0667,NH3,6,10,8
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","08-11-2025 15:00:00",28.4227,77.0667,OZONE,6,23,14
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","08-11-2025 15:00:00",28.4275,77.1465,PM2.5,73,304,162
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","08-11-2025 15:00:00",30.7057778,76.8531805555555,OZONE,17,32,26
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","08-11-2025 15:00:00",29.432304,76.972765,CO,16,26,24
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","08-11-2025 15:00:00",29.432304,76.972765,OZONE,30,30,30
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","08-11-2025 15:00:00",28.52123,76.37138,PM2.5,245,466,372
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","08-11-2025 15:00:00",29.536400,75.015800,PM2.5,93,370,274
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","08-11-2025 15:00:00",29.536400,75.015800,NO2,7,31,18
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","08-11-2025 15:00:00",29.536400,75.015800,NH3,10,14,13
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","08-11-2025 15:00:00",29.695300,77.002700,CO,35,61,48
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","08-11-2025 15:00:00",29.966942,76.875879,PM10,76,304,217
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","08-11-2025 15:00:00",27.9002,76.9938,CO,40,102,84
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","08-11-2025 15:00:00",28.360699,76.936090,PM2.5,164,347,286
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","08-11-2025 15:00:00",28.360699,76.936090,PM10,114,229,166
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","08-11-2025 15:00:00",28.206800,76.799700,PM2.5,60,263,151
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","08-11-2025 15:00:00",28.39072,77.30059,NO2,24,26,25
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","08-11-2025 15:00:00",28.39072,77.30059,NH3,11,12,11
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","08-11-2025 15:00:00",28.376058,77.315741,PM2.5,80,322,220
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","08-11-2025 15:00:00",28.376058,77.315741,PM10,86,179,145
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","08-11-2025 15:00:00",28.4275,77.1465,CO,15,77,38
